line,comparison,region,position_class,side_of_strong_line,corr,nmse,phase_rmse_rad,amplitude_nrmse
5,author_L4_forward_vs_independent,extrapolated_outside_200,edge,before,0.984375703487813,0.07363182506952529,0.43165275460300473,0.23436928731307854
5,author_L4_forward_vs_independent,full_K,edge,before,0.9891256967731881,0.030941125054514337,0.3800933556308124,0.1497249167753789
5,author_L4_reverse_vs_independent,input_128,edge,before,0.9999745453526528,5.090864675536269e-05,0.008507873459011946,0.005318474432910593
5,author_L4_reverse_vs_independent,embedded_200,edge,before,0.9973089883901528,0.006000657232871295,0.17389446998886804,0.05706420317134176
5,author_L4_reverse_vs_independent,heldout_72,edge,before,0.9933691595343289,0.01905169668845508,0.2896020305225432,0.10167185929741401
5,author_L4_reverse_vs_independent,extrapolated_outside_200,edge,before,0.9752625396269985,0.11138115139055962,0.513363538363707,0.27813030532931343
5,author_L4_reverse_vs_independent,full_K,edge,before,0.9846227771348753,0.04357286986099542,0.45300818266799137,0.1722668970813888
6,wrapper_individual_vs_direct_independent,input_128,interior,before,0.9999999999999999,0.0,1.6634866095340588e-17,0.0
6,wrapper_individual_vs_direct_independent,embedded_200,interior,before,1.0,0.0,1.689210736003436e-17,0.0
6,wrapper_individual_vs_direct_independent,heldout_72,interior,before,1.0,0.0,1.734000498658965e-17,0.0
6,wrapper_individual_vs_direct_independent,extrapolated_outside_200,interior,before,1.0,0.0,1.5665005612037447e-17,0.0
6,wrapper_individual_vs_direct_independent,full_K,interior,before,0.9999999999999999,0.0,1.5980617115262016e-17,0.0
6,whole_forward_vs_reverse,input_128,interior,before,0.9999972446181948,5.510756018146629e-06,0.006040115095287048,0.0016476849148715123
6,whole_forward_vs_reverse,embedded_200,interior,before,0.9982509537730331,0.003515565034985671,0.07914953807346901,0.041352040139602864
6,whole_forward_vs_reverse,heldout_72,interior,before,0.9933425371355941,0.013575065020600489,0.13166983396412366,0.08125817971301737
6,whole_forward_vs_reverse,extrapolated_outside_200,interior,before,0.9907148832739512,0.02126253318524583,0.2462266917579059,0.09298214236305906
6,whole_forward_vs_reverse,full_K,interior,before,0.9956125496429873,0.0091544220705631,0.21687980575619065,0.0625596622259166
6,whole_forward_vs_independent,input_128,interior,before,0.9999774883409239,4.502281137721786e-05,0.008528632691269007,0.0051073519258986394
